index;ферспл CaC2;химсталь последний Ca;химшлак первый CaO_1;химшлак последний CaO;чист расход C;чист расход Cr;расход C пров.;химсталь первый C_1;химсталь первый Cr_1;химсталь первый Cu_1;химсталь последний C;химсталь последний Cr;химсталь последний Cu;ферспл FeMo;ферспл FeSi-75;ферспл FeV азот.;ферспл  FeV-80;химшлак первый FeO_1;химшлак последний FeO;чист расход V;химсталь первый V_1;химсталь последний V;чист расход Mn;ферспл  Mn5Si65Al0.5;ферспл SiMn18;химсталь первый Mn_1;химсталь последний Mn;химшлак первый MnO_1;химшлак последний MnO;чист расход Si;химсталь первый Si_1;химсталь последний Si;химшлак первый SiO2_1;химшлак последний SiO2;химсталь первый Al_1;химсталь последний Al;химшлак первый Al2O3_1;химшлак последний Al2O3;химсталь первый Mo_1;химсталь последний Mo;N2 (интенс.);расход газ  N2;ферспл  Ni H1 пласт.;химсталь первый N_1;химсталь первый Ni_1;химсталь последний N;химсталь последний Ni;химсталь первый P_1;химсталь последний P;химсталь первый S_1;химсталь последний S;химсталь первый Ti_1;химсталь последний Ti;химшлак первый MgO_1;химшлак последний MgO;химшлак первый R_1;химшлак последний R
Ca;0.62525;1;0.71;0.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C;0.37;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fe;0;0;0;0;0;0;0;0;0;0;0;0;0;0.37;0.665;0.522;0.522;0.773;0.773;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.477;0.477;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.13;0.97238;1;1;0.77446;0.77446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.335;0;0;0;0;0;0;0;0;0.863;0.002762;0;0;0;0;1;1;1;0.462;0.462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00638;0;0;0;0;0;0;0;0;0;0;1;1;0.53;0.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cr;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cu;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mo;0;0;0;0;0;0;0;0;0;0;0;0;0;0.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Ni;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0
P;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Ti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
O;0;0;0.285;0.285;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2227;0.2227;0;0;0;0;0;0;0;0;0.225;0.225;0;0;0;0.53257;0.53257;0;0;0.47;0.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.39696;0.39696;0;0
R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Mg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.60304;0.60304;0;0
